Campo1,Campo2_texto,Campo2_enlaces,Campo3_texto,Campo3_enlaces,Campo4_texto,Campo4_enlaces
15:12 hs,"
                  Lady Gaga dedica canción 'Born This Way' a víctimas de tiroteo en Las Vegas del 2017              ",https://rpp.pe/musica/internacional/lady-gaga-dedica-cancion-born-this-way-a-victimas-de-tiroteo-en-las-vegas-del-2017-noticia-1508480,"
                  Internacional              ",https://rpp.pe/musica/internacional,Harold Quispe,https://rpp.pe/autor/hquispe
14:51 hs,"
                  Juan Reynoso alista plan para enfrentar a Bolivia en La Paz por las Eliminatorias              ",https://rpp.pe/futbol/seleccion-peruana/juan-reynoso-en-la-seleccion-peruana-alista-plan-para-enfrentar-a-bolivia-en-la-paz-por-las-eliminatorias-noticia-1508473,"
                  Selección Peruana              ",https://rpp.pe/futbol/seleccion-peruana,Erick Chavez,https://rpp.pe/autor/echavez
14:49 hs,"
                  Los iPhone 15 Pro tienen un nuevo problema... con los autos BMW              ",https://rpp.pe/tecnologia/moviles/los-iphone-15-pro-tienen-un-nuevo-problema-con-los-autos-bmw-noticia-1508492,"
                  Móviles              ",https://rpp.pe/tecnologia/moviles,Alberto Nishiyama,https://rpp.pe/autor/anishiyama
14:38 hs,"
                  ""Los estamos esperando"": Reynoso explicó las ausencias de Christian Cueva y Edison Flores en la Selección Peruana              ",https://rpp.pe/futbol/seleccion-peruana/seleccion-peruana-juan-reynoso-explico-las-ausencias-de-christian-cueva-y-edison-flores-noticia-1508474,"
                  Selección Peruana              ",https://rpp.pe/futbol/seleccion-peruana,José Luis Blanco Pagán,https://rpp.pe/autor/jblanco
14:37 hs,"
                  ""Un viaje a la felicidad"": Yarita Lizeth y su esposo se van de luna de miel              ",https://rpp.pe/famosos/farandula/yarita-lizeth-y-su-esposo-se-van-de-luna-de-miel-un-viaje-a-la-felicidad-noticia-1508479,"
                  Farándula              ",https://rpp.pe/famosos/farandula,Brenda García Retamal,https://rpp.pe/autor/bgarcia
14:15 hs,"
                  Encuesta del Poder 2023: ""Primera vez que un premier equipara el poder de un jefe de Estado"", afirma Diego Chirinos              ",https://rpp.pe/politica/gobierno/encuesta-del-poder-2023-primera-vez-que-un-premier-equipara-el-poder-de-un-jefe-de-estado-afirma-diego-chirinos-noticia-1508466,"
                  Gobierno              ",https://rpp.pe/politica/gobierno,Luis Felipe Rodriguez Jimenez,https://rpp.pe/autor/lrodriguez
14:08 hs,"
                  Precio del dólar: ¿en cuánto cerró el billete verde hoy 02 de octubre?              ",https://rpp.pe/economia/economia/precio-del-dolar-en-cuanto-cerro-el-billete-verde-hoy-02-de-octubre-noticia-1508485,"
                  Economía              ",https://rpp.pe/economia/economia,Maritza Saenz,https://rpp.pe/autor/msaenz
13:52 hs,"
                  Yahaira Plasencia felicitó a Daniela Darcourt por nominación a los Latin Grammy: ""Merecido lo tiene""              ",https://rpp.pe/famosos/celebridades/yahaira-plasencia-felicito-a-daniela-darcourt-por-nominacion-a-los-latin-grammy-merecido-lo-tiene-noticia-1508455,"
                  Celebridades              ",https://rpp.pe/famosos/celebridades,Harold Quispe,https://rpp.pe/autor/hquispe
13:48 hs,"
                  Reynoso confirmó presencia de André Carrillo en Eliminatorias: ""Ante Argentina está 100% confirmado""              ",https://rpp.pe/futbol/seleccion-peruana/juan-reynoso-sobre-convocatoria-de-andre-carrillo-estara-en-los-partidos-por-eliminatorias-sudamericanas-noticia-1508452,"
                  Selección Peruana              ",https://rpp.pe/futbol/seleccion-peruana,Erick Chavez,https://rpp.pe/autor/echavez
13:43 hs,"
                  Flavia Laos revela por qué le dijo ""no"" a 'El Gran Chef Famosos'              ",https://rpp.pe/famosos/farandula/el-gran-chef-famosos-flavia-laos-revela-por-que-le-dijo-no-al-reality-de-cocina-noticia-1508462,"
                  Farándula              ",https://rpp.pe/famosos/farandula,Brenda García Retamal,https://rpp.pe/autor/bgarcia
